SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK,OPERA_PV
214008107003.0,,,78.0,5.0,2.0
214008107004.0,,,116.0,4.0,1.0
214008107008.0,,,94.0,4.0,2.0
214008107010.0,,,360.0,2.0,1.0
214008107014.0,,,102.0,4.0,1.0
214008107016.0,,,116.0,4.0,1.0
214008107019.0,,,102.0,4.0,1.0
214008107022.0,,,250.0,5.0,2.0
214008107025.0,,,324.0,5.0,1.0
214008107029.0,3515.0,,587.0,7.0,1.0
214008107031.0,,,,,2.0
214008107034.0,265.0,,78.0,5.0,2.0
214008107037.0,,,61.0,4.0,2.0
214008107040.0,,,360.0,2.0,1.0
214008107043.0,,,381.0,5.0,1.0
214008107048.0,,,346.0,5.0,1.0
214008337001.0,,,,,2.0
214008337004.0,,,314.0,0.0,2.0
214008337012.0,,,360.0,2.0,1.0
214008337013.0,,,317.0,2.0,2.0
214008337020.0,,,68.0,4.0,2.0
214008337024.0,,,,,1.0
214008337030.0,,,250.0,5.0,2.0
214008337033.0,,,,,2.0
214008767002.0,315.0,,102.0,4.0,1.0
214008767006.0,779.0,,317.0,2.0,2.0
214008767009.0,,,78.0,5.0,2.0
214008767015.0,,,98.0,4.0,1.0
214008767018.0,,,116.0,4.0,1.0
214008767021.0,,,68.0,4.0,2.0
214008767023.0,,,78.0,5.0,2.0
214008767027.0,,,346.0,5.0,1.0
214008767028.0,,,314.0,0.0,2.0
214008767031.0,,,,,1.0
214008767034.0,,,360.0,2.0,1.0
214008767037.0,,,267.0,5.0,2.0
214008785006.0,,,68.0,4.0,2.0
214008785009.0,,,67.0,5.0,1.0
214008785011.0,,,317.0,2.0,2.0
214008785015.0,,,61.0,4.0,2.0
214008785017.0,,,317.0,2.0,2.0
214008785020.0,,,102.0,4.0,1.0
214008785024.0,,,116.0,4.0,1.0
214008785026.0,,,98.0,4.0,1.0
214008785029.0,,,524.0,3.0,2.0
214008785032.0,,,135.0,4.0,2.0
214008785035.0,,,317.0,2.0,2.0
214008785039.0,,,360.0,2.0,1.0
214008785040.0,,,98.0,4.0,1.0
214008860003.0,189.0,,94.0,4.0,2.0
214008860004.0,,,,,1.0
214008860007.0,,,94.0,4.0,2.0
214008860010.0,,,98.0,4.0,1.0
214008860015.0,,,67.0,5.0,1.0
214008860020.0,,,314.0,0.0,2.0
214008860022.0,,,360.0,2.0,1.0
214008860031.0,,,101.0,5.0,1.0
214008860034.0,883.0,,67.0,5.0,1.0
214008860037.0,,,44.0,4.0,1.0
214008860040.0,,,267.0,5.0,2.0
214008881001.0,,,116.0,4.0,1.0
214008881004.0,,,78.0,5.0,2.0
214008881009.0,,,94.0,4.0,2.0
214008881010.0,,,67.0,5.0,1.0
214008881014.0,,,360.0,2.0,1.0
214008881016.0,,,314.0,0.0,2.0
214008881021.0,2015.0,,360.0,2.0,1.0
214008881023.0,,,94.0,4.0,2.0
214008881026.0,,,314.0,0.0,2.0
214008881028.0,,,116.0,4.0,1.0
214008881031.0,,,360.0,2.0,1.0
214008881034.0,,,,,2.0
214008881038.0,,,78.0,5.0,2.0
214008881041.0,,,360.0,2.0,1.0
214008961003.0,,,98.0,4.0,1.0
214008961005.0,,,94.0,4.0,2.0
214008961008.0,,,116.0,4.0,1.0
214008961010.0,2015.0,,360.0,2.0,1.0
214008961015.0,,,94.0,4.0,2.0
214008961017.0,,,82.0,3.0,2.0
214008961019.0,30.0,,160.0,5.0,2.0
214008961022.0,,,102.0,4.0,1.0
214008961025.0,,,317.0,2.0,2.0
214008961028.0,,,102.0,4.0,1.0
214008961035.0,,,524.0,3.0,2.0
214008961037.0,,,360.0,2.0,1.0
223998337001.0,,,67.0,5.0,1.0
223998337008.0,,,98.0,4.0,1.0
223998337012.0,,,102.0,4.0,1.0
223998337013.0,,,160.0,5.0,2.0
223998337017.0,,,102.0,4.0,1.0
223998337020.0,,,67.0,5.0,1.0
223998337022.0,,,314.0,0.0,2.0
223998337025.0,,,346.0,5.0,1.0
223998337031.0,,,360.0,2.0,1.0
223998443002.0,,,160.0,5.0,2.0
223998443006.0,,,314.0,0.0,2.0
223998443010.0,,,68.0,4.0,2.0
223998443013.0,,,68.0,4.0,2.0
223998443016.0,,,,,1.0
223998443019.0,,,68.0,4.0,2.0
223998443027.0,,,98.0,4.0,1.0
223998443030.0,,,317.0,2.0,2.0
223998443031.0,,,94.0,4.0,2.0
223998443035.0,,,94.0,4.0,2.0
223998696001.0,,,250.0,5.0,2.0
223998696006.0,,,68.0,4.0,2.0
223998696007.0,215.0,,360.0,2.0,1.0
223998696010.0,,,360.0,2.0,1.0
223998696014.0,,,267.0,5.0,2.0
223998696016.0,,,324.0,5.0,1.0
223998696021.0,,,98.0,4.0,1.0
223998696024.0,348.0,,67.0,5.0,1.0
223998696026.0,909.0,,317.0,2.0,2.0
223998696029.0,,,82.0,3.0,2.0
223998696035.0,,,346.0,5.0,1.0
223998725005.0,,,78.0,5.0,2.0
223998725007.0,,,68.0,4.0,2.0
223998725012.0,,,360.0,2.0,1.0
223998725015.0,,,330.0,3.0,1.0
223998725019.0,,,74.0,5.0,1.0
223998725024.0,,,324.0,5.0,1.0
223998725025.0,,,160.0,5.0,2.0
223998725028.0,,,,,1.0
223998725031.0,,,102.0,4.0,1.0
223998725034.0,,,102.0,4.0,1.0
223998725038.0,,,116.0,4.0,1.0
223998725041.0,,,,,1.0
223998725043.0,115.0,,94.0,4.0,2.0
223998725047.0,,,94.0,4.0,2.0
223998868001.0,,,61.0,1.0,1.0
223998868004.0,,,102.0,5.0,1.0
223998868007.0,,,68.0,4.0,2.0
223998868011.0,,,82.0,3.0,2.0
223998868013.0,,,78.0,5.0,2.0
223998868016.0,,,78.0,5.0,2.0
223998868019.0,215.0,,117.0,5.0,1.0
223998868022.0,,,72.0,5.0,2.0
223998868028.0,,,330.0,3.0,1.0
223998881003.0,,,330.0,3.0,1.0
223998881006.0,,,98.0,4.0,1.0
223998881007.0,,,102.0,5.0,1.0
223998881010.0,,,94.0,4.0,2.0
223998881013.0,,,317.0,2.0,2.0
223998881017.0,,,67.0,5.0,1.0
223998881019.0,282.0,,67.0,5.0,1.0
223998881023.0,,,267.0,5.0,2.0
223998881027.0,,,78.0,5.0,2.0
223998881029.0,,,67.0,5.0,1.0
223998881033.0,,,98.0,4.0,1.0
223998881036.0,,,346.0,5.0,1.0
223998900003.0,3877.0,,1671.0,3.0,1.0
223998900009.0,,,68.0,4.0,2.0
223998900010.0,,,250.0,5.0,2.0
223998900014.0,,,181.0,6.0,2.0
223998900019.0,,,67.0,5.0,1.0
223998900022.0,,,94.0,4.0,2.0
223998900025.0,,,78.0,5.0,2.0
223998900030.0,,,317.0,2.0,2.0
223998900032.0,,,267.0,5.0,2.0
230011607085.0,223.0,,62.0,0.0,1.0
230011607089.0,275.0,,110.0,,1.0
230011607091.0,937.0,,77.0,0.0,2.0
230011607092.0,,,91.0,0.0,2.0
230011607096.0,694.0,,50.0,,1.0
230011607097.0,,,91.0,0.0,2.0
230011607100.0,,,76.0,0.0,1.0
230011607108.0,,,68.0,1.0,2.0
230011607113.0,637.0,,44.0,1.0,2.0
230011607118.0,765.0,,27.0,,2.0
230011607119.0,400.0,,35.0,,1.0
230011607120.0,80.0,,60.0,2.0,1.0
230011607122.0,,,89.0,2.0,2.0
230019406002.0,,,73.0,0.0,1.0
230019406003.0,,,73.0,0.0,1.0
230019406005.0,800.0,,156.0,,2.0
230019406008.0,679.0,,62.0,0.0,1.0
230019406012.0,565.0,,65.0,0.0,1.0
230019406015.0,167.0,,46.0,,1.0
230019406018.0,558.0,,58.0,1.0,2.0
230019406021.0,,,68.0,1.0,2.0
230019406023.0,,,68.0,1.0,2.0
230019406026.0,46.0,,149.0,7.0,2.0
230019406029.0,547.0,,44.0,1.0,2.0
230019406030.0,,,71.0,2.0,1.0
230019543066.0,,,52.0,1.0,2.0
230019543071.0,,,91.0,1.0,2.0
230019543072.0,,,91.0,1.0,2.0
230019543073.0,750.0,,63.0,,1.0
230019543074.0,,,73.0,0.0,1.0
230019543075.0,443.0,,58.0,1.0,2.0
230019543077.0,100.0,,60.0,,1.0
230019543078.0,250.0,,100.0,,1.0
230019543081.0,860.0,,77.0,0.0,2.0
230019543082.0,,,,,2.0
230019543086.0,174.0,,100.0,,1.0
230019543088.0,,,,,2.0
230019543092.0,837.0,,43.0,0.0,1.0
230019543094.0,,,50.0,0.0,1.0
230019543097.0,321.0,,60.0,2.0,1.0
230019659001.0,559.0,,44.0,1.0,2.0
230019659002.0,769.0,,44.0,1.0,2.0
230019659005.0,1098.0,,76.0,1.0,1.0
230019659006.0,602.0,,58.0,1.0,2.0
230019659010.0,1271.0,,77.0,0.0,2.0
230019659012.0,,,76.0,0.0,1.0
230019659016.0,145.0,,100.0,,1.0
230019659017.0,550.0,,75.0,,1.0
230019659018.0,,,73.0,0.0,1.0
230019659019.0,1120.0,,23.0,,2.0
230019659020.0,,,43.0,0.0,2.0
230019841074.0,361.0,,45.0,,1.0
230019841075.0,,,73.0,0.0,1.0
230019841077.0,448.0,,76.0,1.0,1.0
230019841078.0,491.0,,76.0,1.0,1.0
230019841080.0,611.0,,95.0,,1.0
230019841081.0,416.0,,120.0,,2.0
230019841083.0,444.0,,100.0,,2.0
230019841084.0,371.0,,62.0,0.0,1.0
230019841085.0,325.0,,65.0,,2.0
230019841086.0,,,68.0,1.0,2.0
230019841088.0,644.0,,35.0,3.0,2.0
230019841092.0,,,,,1.0
230019841096.0,863.0,,46.0,,1.0
230019841099.0,1147.0,,125.0,,2.0
230019926079.0,347.0,,88.0,,1.0
230019926082.0,611.0,,58.0,1.0,2.0
230019926083.0,,,68.0,1.0,2.0
230019926089.0,400.0,,88.0,,2.0
230019926092.0,,,73.0,0.0,1.0
230019926094.0,821.0,,115.0,,2.0
230019926098.0,,,,,2.0
230019926100.0,,,55.0,0.0,1.0
230019926101.0,833.0,,58.0,,2.0
230019926103.0,423.0,,118.0,,1.0
230019926104.0,260.0,,46.0,,2.0
230019926105.0,,,,,1.0
230019926107.0,600.0,,45.0,,1.0
230019926109.0,,,71.0,2.0,1.0
230021607124.0,300.0,,125.0,,2.0
230021607125.0,552.0,,62.0,5.0,1.0
230021607127.0,475.0,,58.0,1.0,2.0
230021607128.0,296.0,,58.0,1.0,2.0
230021607129.0,,,71.0,2.0,1.0
