SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
214008107003,78,5,,
214008107004,116,4,,
214008107008,94,4,,
214008107010,360,2,,
214008107014,102,4,,
214008107016,116,4,,
214008107019,102,4,,
214008107022,250,5,,
214008107025,324,5,,
214008107029,587,7,3515,
214008107031,,,,
214008107034,78,5,265,
214008107037,61,4,,
214008107040,360,2,,
214008107043,381,5,,
214008107048,346,5,,
214008337001,,,,
214008337004,314,0,,
214008337012,360,2,,
214008337013,317,2,,
214008337020,68,4,,
214008337024,,,,
214008337030,250,5,,
214008337033,,,,
214008767002,102,4,315,
214008767006,317,2,779,
214008767009,78,5,,
214008767015,98,4,,
214008767018,116,4,,
214008767021,68,4,,
214008767023,78,5,,
214008767027,346,5,,
214008767028,314,0,,
214008767031,,,,
214008767034,360,2,,
214008767037,267,5,,
214008785006,68,4,,
214008785009,67,5,,
214008785011,317,2,,
214008785015,61,4,,
214008785017,317,2,,
214008785020,102,4,,
214008785024,116,4,,
214008785026,98,4,,
214008785029,524,3,,
214008785032,135,4,,
214008785035,317,2,,
214008785039,360,2,,
214008785040,98,4,,
214008860003,94,4,189,
214008860004,,,,
214008860007,94,4,,
214008860010,98,4,,
214008860015,67,5,,
214008860020,314,0,,
214008860022,360,2,,
214008860031,101,5,,
214008860034,67,5,883,
214008860037,44,4,,
214008860040,267,5,,
214008881001,116,4,,
214008881004,78,5,,
214008881009,94,4,,
214008881010,67,5,,
214008881014,360,2,,
214008881016,314,0,,
214008881021,360,2,2015,
214008881023,94,4,,
214008881026,314,0,,
214008881028,116,4,,
214008881031,360,2,,
214008881034,,,,
214008881038,78,5,,
214008881041,360,2,,
214008961003,98,4,,
214008961005,94,4,,
214008961008,116,4,,
214008961010,360,2,2015,
214008961015,94,4,,
214008961017,82,3,,
214008961019,160,5,30,
214008961022,102,4,,
214008961025,317,2,,
214008961028,102,4,,
214008961035,524,3,,
214008961037,360,2,,
223998337001,67,5,,
223998337008,98,4,,
223998337012,102,4,,
223998337013,160,5,,
223998337017,102,4,,
223998337020,67,5,,
223998337022,314,0,,
223998337025,346,5,,
223998337031,360,2,,
223998443002,160,5,,
223998443006,314,0,,
223998443010,68,4,,
223998443013,68,4,,
223998443016,,,,
223998443019,68,4,,
223998443027,98,4,,
223998443030,317,2,,
223998443031,94,4,,
223998443035,94,4,,
223998696001,250,5,,
223998696006,68,4,,
223998696007,360,2,215,
223998696010,360,2,,
223998696014,267,5,,
223998696016,324,5,,
223998696021,98,4,,
223998696024,67,5,348,
223998696026,317,2,909,
223998696029,82,3,,
223998696035,346,5,,
223998725005,78,5,,
223998725007,68,4,,
223998725012,360,2,,
223998725015,330,3,,
223998725019,74,5,,
223998725024,324,5,,
223998725025,160,5,,
223998725028,,,,
223998725031,102,4,,
223998725034,102,4,,
223998725038,116,4,,
223998725041,,,,
223998725043,94,4,115,
223998725047,94,4,,
223998868001,61,1,,
223998868004,102,5,,
223998868007,68,4,,
223998868011,82,3,,
223998868013,78,5,,
223998868016,78,5,,
223998868019,117,5,215,
223998868022,72,5,,
223998868028,330,3,,
223998881003,330,3,,
223998881006,98,4,,
223998881007,102,5,,
223998881010,94,4,,
223998881013,317,2,,
223998881017,67,5,,
223998881019,67,5,282,
223998881023,267,5,,
223998881027,78,5,,
223998881029,67,5,,
223998881033,98,4,,
223998881036,346,5,,
223998900003,1671,3,3877,
223998900009,68,4,,
223998900010,250,5,,
223998900014,181,6,,
223998900019,67,5,,
223998900022,94,4,,
223998900025,78,5,,
223998900030,317,2,,
223998900032,267,5,,
230011607085,62,0,223,
230011607089,110,,275,
230011607091,77,0,937,
230011607092,91,0,,
230011607096,50,,694,
230011607097,91,0,,
230011607100,76,0,,
230011607108,68,1,,
230011607113,44,1,637,
230011607118,27,,765,
230011607119,35,,400,
230011607120,60,2,80,
230011607122,89,2,,
230019406002,73,0,,
230019406003,73,0,,
230019406005,156,,800,
230019406008,62,0,679,
230019406012,65,0,565,
230019406015,46,,167,
230019406018,58,1,558,
230019406021,68,1,,
230019406023,68,1,,
230019406026,149,7,46,
230019406029,44,1,547,
230019406030,71,2,,
230019543066,52,1,,
230019543071,91,1,,
230019543072,91,1,,
230019543073,63,,750,
230019543074,73,0,,
230019543075,58,1,443,
230019543077,60,,100,
230019543078,100,,250,
230019543081,77,0,860,
230019543082,,,,
230019543086,100,,174,
230019543088,,,,
230019543092,43,0,837,
230019543094,50,0,,
230019543097,60,2,321,
230019659001,44,1,559,
230019659002,44,1,769,
230019659005,76,1,1098,
230019659006,58,1,602,
230019659010,77,0,1271,
230019659012,76,0,,
230019659016,100,,145,
230019659017,75,,550,
230019659018,73,0,,
230019659019,23,,1120,
230019659020,43,0,,
230019841074,45,,361,
230019841075,73,0,,
230019841077,76,1,448,
230019841078,76,1,491,
230019841080,95,,611,
230019841081,120,,416,
230019841083,100,,444,
230019841084,62,0,371,
230019841085,65,,325,
230019841086,68,1,,
230019841088,35,3,644,
230019841092,,,,
230019841096,46,,863,
230019841099,125,,1147,
230019926079,88,,347,
230019926082,58,1,611,
230019926083,68,1,,
230019926089,88,,400,
230019926092,73,0,,
230019926094,115,,821,
230019926098,,,,
230019926100,55,0,,
230019926101,58,,833,
230019926103,118,,423,
230019926104,46,,260,
230019926105,,,,
230019926107,45,,600,
230019926109,71,2,,
230021607124,125,,300,
230021607125,62,5,552,
230021607127,58,1,475,
230021607128,58,1,296,
230021607129,71,2,,
230021607130,76,2,306,
230021607131,49,,500,
230021607132,60,2,800,
230021607134,43,2,,
230021607138,60,2,1052,
230021607139,60,2,493,
230021607141,52,1,,
230029406037,62,5,779,
230029406040,81,1,,
230029406041,39,1,3872,
230029406045,60,,100,
230029406046,62,0,683,
230029406048,76,2,419,
230029437003,100,,500,
230029437004,75,3,,
230029437005,63,,564,
230029437006,40,,284,
230029437007,58,1,434,
230029437011,68,1,,
230029437014,58,1,527,
230029437015,60,2,392,
230029535002,81,1,,
230029535007,76,2,589,
230029535008,60,2,733,
230029535009,76,2,351,
230029635001,83,3,,
230029635002,71,3,448,
230029635003,15,,600,
230029635005,150,,1000,
230029635011,58,,750,
230029635012,56,,186,
230029635018,76,2,336,
230029635019,60,2,575,
230029926112,71,3,533,
230029926118,68,1,437,
230029926121,75,,868,
230029926124,21,,231,
230031209001,40,,700,
230031209006,44,1,295,
230031209007,43,0,864,
230031209008,,,,
230031209012,45,,600,
230031209013,100,,586,
230031209018,38,1,,
230031209021,75,,375,
230031209022,44,1,775,
230031209023,,,,
230031209024,45,,130,
230031209028,59,1,4167,
230031209033,73,0,,
230031209034,40,,400,
